Date,Open,High,Low,Close,Volume,RSI_14,MACD,BB_Width,EMA_20,ATR_14,OBV,Stoch_K
2015-10-08,155.584,156.55,153.6121,154.4732,106518430.0,50.780330111665194,1.2809595901156285,7.795766712519847,155.12068815611767,4.052063193859669,3270121532.0,25.352710695290586
2015-10-09,151.8549,151.9702,150.0446,151.2954,113424599.0,44.772943546346085,0.8469997127759257,8.380433567459217,154.75637499839218,4.0789586800125495,3156696933.0,8.832709554409986
2015-10-12,152.9917,153.966,150.8358,152.4458,61216026.0,47.207764912739066,0.5891200400707248,8.128201872824095,154.53632023664053,4.011190202868796,3217912959.0,16.956429630675718
2015-10-13,154.3172,158.3354,152.8609,154.1953,190567895.0,50.76291010064974,0.5199251963265112,7.9558174130356445,154.50384211886526,4.14536233123531,3408480854.0,36.61230142278758
2015-10-14,157.1016,158.2387,156.6205,157.512,98900036.0,56.7141826747037,0.7243676954292084,7.955378250607695,154.79033334564002,4.138079307575644,3507380890.0,65.86809445262821
2015-10-15,160.442,160.8518,156.8552,160.811,189767230.0,61.67608429916137,1.1394566312455083,8.186357229572716,155.3637301698648,4.127973642748812,3697148120.0,94.96776014607183
2015-10-16,156.8296,157.0212,155.8266,156.8058,47972616.0,53.63720928735911,1.13218036578823,8.112423662631976,155.50107015368718,4.189146953981039,3649175504.0,59.63887835298901
2015-10-19,153.1475,154.7733,152.1801,154.1765,62830046.0,49.111732370912655,0.9038325183126972,7.812063614505206,155.3749206152408,4.220329314410964,3586345458.0,36.446471257574885
2015-10-20,155.0472,158.8343,154.5839,155.8112,135040642.0,51.8327575987458,0.845030842731461,6.914943558481173,155.4164710328369,4.251577220524467,3721386100.0,53.35887186320244
2015-10-21,157.1705,159.7604,157.0883,157.4595,73384517.0,54.47600692236474,0.9208194918603283,5.881188692291407,155.61104522018576,4.229978847629861,3794770617.0,68.61074098748975
2015-10-22,159.5442,162.4003,156.4538,159.129,159504528.0,57.04707702155423,1.1028838808717296,5.715676865183539,155.94608853254903,4.352587501370585,3954275145.0,73.52396060118002
2015-10-23,171.5578,172.4623,170.8094,171.2866,462484401.0,70.23182619469223,2.202795480457638,10.443556856569344,157.40708962468722,4.994066965558401,4416759546.0,94.75548339035669
2015-10-26,173.2678,175.483,172.2492,173.2855,66467922.0,71.76635149599832,3.1989029105553186,13.898780490779608,158.9193191842408,4.937090753732802,4483227468.0,91.36148499905659
2015-10-27,175.1696,179.4446,171.753,177.1885,66740112.0,74.52747609958375,4.2542246531041314,17.614288127108008,160.65924116669407,5.13384141418046,4549967580.0,92.32619047619048
2015-10-28,179.6238,183.0789,178.6085,180.5589,95133253.0,76.65098974623999,5.301426307202462,21.285942977669595,162.55444676986608,5.18788131316757,4645100833.0,92.37156531241767
2015-10-29,183.2931,183.4214,180.8019,182.9441,131651732.0,78.04584107216976,6.251740693664658,24.371536650784094,164.49631850606931,5.021782647941316,4776752565.0,98.53524256113126
2015-10-30,180.8721,182.8105,178.0496,182.0053,122380801.0,76.11839589213938,6.850154065466455,26.398048165579624,166.16384055311033,5.012691030231221,4654371764.0,95.46721807351166
2015-11-02,184.5268,185.3758,180.7118,184.7849,96833630.0,77.86168991538275,7.462666489921276,28.501973918542312,167.93727478614744,4.987784528071848,4751205394.0,98.21995017426954
2015-11-03,183.005,183.4473,181.7742,182.2539,72519225.0,72.66052970251489,7.65560737529276,29.281954996327325,169.30076290175245,4.846564204638144,4678686169.0,90.59546869022189
2015-11-04,181.5607,182.8025,181.474,181.5878,115393343.0,71.3104434492257,7.666392315395285,29.59871765527966,170.47095691110934,4.595273904306849,4563292826.0,88.58888349997135
2015-11-05,180.1328,183.4497,178.5552,180.0762,95132520.0,68.21293960333307,7.4668922848158275,29.406085729983435,171.38574196719418,4.616647196856358,4468160306.0,84.03528167804866
2015-11-06,178.4107,184.9102,178.116,180.5018,139228719.0,68.62615442520192,7.259447049634588,28.41199075871738,172.25393797031853,4.772186682795189,4607389025.0,84.1711618964728
2015-11-09,189.1888,191.5362,187.3362,188.7262,1071795531.0,75.30645803271922,7.670267483043773,28.264824170530833,173.82272483028822,5.219487634024104,5679184556.0,91.99028572731626
2015-11-10,182.4894,183.9988,181.4709,182.3308,363190417.0,63.9105447209628,7.394550529355342,27.07429443101398,174.6330177035941,5.364902803022383,5315994139.0,73.76063211182816
2015-11-11,186.6384,186.7448,184.49,184.8612,135280964.0,66.09662448957283,7.296119861601085,26.327964388924407,175.6071303032518,5.296981174235069,5451275103.0,67.79531813883469
2015-11-12,180.3101,181.6839,176.9997,179.458,694896498.0,58.01542702376782,6.704830650550292,25.399581164077706,175.9738797981802,5.480161090361136,4756378605.0,38.94718751263701
2015-11-13,178.2249,179.8488,177.8713,178.0094,94293083.0,56.03729302747429,6.049603711401659,23.470370608447883,176.16773886502017,5.2299710124782,4662085522.0,31.624812972623268
2015-11-16,182.1654,185.0613,181.0446,181.8585,70806323.0,59.94534725519719,5.774358631311969,20.553575766060085,176.70971611597062,5.360108797301185,4732891845.0,33.424827159219866
2015-11-17,183.0947,185.6904,180.9646,182.2277,113591991.0,60.30980448937651,5.52235797162561,17.288737193183,177.2352383906401,5.314801026065388,4846483836.0,35.964640731950624
2015-11-18,179.6824,179.9453,178.4791,178.6991,73368209.0,55.14531229444867,4.9805049422801915,13.405183008759897,177.3746537820077,5.202929524203576,4773115627.0,11.690572008392632
2015-11-19,175.6694,178.7406,173.1255,176.4432,52381106.0,52.075076575815864,4.3192604897471085,8.59589838189795,177.28594389800696,5.232370272474749,4720734521.0,18.020498948980748
2015-11-20,177.3286,180.2039,174.5652,178.8693,181823096.0,54.9781623893456,3.945504175201279,7.275268717052559,177.4367397172444,5.261393824440838,4902557617.0,31.19816193843806
2015-11-23,176.075,181.2245,174.0423,176.561,68007020.0,51.76520740094196,3.4235742515519405,6.57630722638191,177.3533359346497,5.398594265552206,4834550597.0,18.66034425632928
2015-11-24,179.0549,182.9377,172.8314,177.429,133394626.0,52.88034555549176,3.0448818697577167,6.542794919402654,177.3605420361116,5.734858960869906,4967945223.0,24.579787006543768
2015-11-25,178.7105,180.2727,176.0787,177.7264,122576388.0,53.2788996224454,2.737210267272104,6.73521820513689,177.39538565172003,5.624797606522056,5090521611.0,26.169753218425264
2015-11-26,175.8917,176.094,175.5726,175.6941,54874257.0,50.15680170123954,2.3028429403415487,7.1002534896491,177.2333584467943,5.376869206056196,5035647354.0,15.30462768914925
2015-11-27,181.8678,183.2835,180.1014,183.1078,224639070.0,59.48397381446014,2.5276897019732587,7.174805866974923,177.79282907090914,5.5349071199093265,5260286424.0,73.85973234435866
2015-11-30,186.4981,188.1136,182.7024,185.4654,48774740.0,61.924109393821055,2.8631167693260693,7.278509038623736,178.52355011177494,5.526070897058659,5309061164.0,82.67134313122453
2015-12-01,177.9446,179.1098,176.8106,178.6467,218936806.0,52.1427884262573,2.5493457620460447,7.292336475580413,178.5352786725583,5.749551547268754,5090124358.0,38.05276727172797
2015-12-02,178.4658,180.425,177.9331,179.4232,36072462.0,53.05223506577132,2.336404422871709,7.28607469010983,178.6198426085051,5.516862151035272,5126196820.0,43.13384198610155
2015-12-03,177.3235,178.3357,176.9189,177.3374,158237465.0,50.287788164295314,1.976555744910371,7.431937948036149,178.4977052172189,5.301679140247038,4967959355.0,29.485283532475712
2015-12-04,180.0542,180.57,179.1392,180.364,81978471.0,54.030938361838224,1.9135363448561975,7.430999495948609,178.6754475774838,5.153887773086535,5049937826.0,49.29002368768899
2015-12-07,177.3281,178.9013,175.0559,177.8274,191869414.0,50.59264301744629,1.6400056314820972,6.10297897126524,178.59468114153296,5.164902932151783,4858068412.0,32.69162816871925
2015-12-08,177.0944,179.1633,175.1303,177.5866,69030731.0,50.26563304023283,1.3878023018415888,6.021544562421045,178.49867341376793,5.08405272271237,4789037681.0,31.115938804622406
2015-12-09,178.952,180.0546,177.0981,179.4354,233831600.0,52.788749366062056,1.3218743107917135,5.3394566082799075,178.58788546959957,4.932084671090058,5022869281.0,43.213673423983394
2015-12-10,182.77,184.1822,181.6218,182.5438,72921447.0,56.7605923060054,1.5031207644045992,5.5901476808723505,178.9646392343996,4.918850051726483,5095790728.0,63.55367682663497
2015-12-11,178.6262,178.8717,176.9853,178.5949,241601128.0,50.90185421843196,1.3129814244784654,5.563751774589423,178.92942597398059,4.9645393337460195,4854189600.0,37.71381083875357
2015-12-14,176.6407,177.7786,171.8273,177.6139,53527168.0,49.53400519456933,1.0707926946277269,5.464745582246895,178.80413778598245,5.093329381335589,4800662432.0,35.530476535493015
